"subj_code","condition","desktop_conf","attent_conf","outcome_rating","description","office_scenario","ball_check","cat_check","age","gender","tech_issues","ball_correct","cat_correct"
"0Ml4imJCWPAW",1,"1: I confirm","1: I will take it seriously","2: The flowers on Prof. Goldberg's table will be watered.","The line from the cat would tip the watering can","stapling",3,2,59,"2: female",NA,"correct","correct"
"1OmGFPc1ZuMi",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","Professor Goldberg will sit attempt to sit on the stool, the cat will jump off triggering the scissors to cut the cord attached to the boot. The boot will fall as the cord is cut and will hit the stapler which will staple the documents.","stapling",3,2,34,"1: male","There was a spelling error in the word 'one'- the 'E' was missing.","correct","correct"
"3VBjM0tGyFya",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The mouse runs on the wheel for the cheese

The waft of air wakes the cat

The cat moves his tail

The scissors cut the string connected to the shoe

The shoe clamps down

The stapler pushes down

The staple is released from the top of the stapler

The top of the staples force pushes the staple around the paper 

The paper is now fixed together

THe string is not attached to the cats tail so nothing can happen in relation to the cat movement
","stapling",3,2,50,"2: female",NA,"correct","correct"
"5oZpdnCSDiRV",1,"1: I confirm","1: I will take it seriously","2: The flowers on Prof. Goldberg's table will be watered.","As the mouse ""chases"" the cheese, fans are blowing air over the cat. At some stage (perhaps when the mouse tires) the cat will wag its tail. When this happens, the scissors will cut the string, and the boot will come down on the stapler.","stapling",3,2,62,"1: male","None.","correct","correct"
"7a37Uq8kEdZN",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The cats tail will pull on the scissors and cut the string. This in turn will release the boot onto the stapler.","stapling",3,2,58,"1: male","none","correct","correct"
"7LbYXHAgqGgc",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","the hamster will turn the wheel, then the bell will ring, then the cat will be woken and move its tail, then this will cause the scissors to cut the string, this will then cause the boot to fall on the stapler which will staple the papers","stapling",3,2,37,"2: female",NA,"correct","correct"
"7wDUJ9ehhyMO",1,"1: I confirm","1: I will take it seriously","2: The flowers on Prof. Goldberg's table will be watered.","1. The mouse runs because the cheese causing the wheel to turn and ring the bell above it with the protruding paddles attached to the wheel.
2. The cat gets excited from watching the wheel turn and the bell ringing, and the cat moves its tail excitedly.
3. The cat's tail movement pulls the ropes to which it is attached.
4. As the rope is pulled, the watering can tips ever so slightly to water the plant. However, the scissors are not effected as gravity has kept the scissors in the closed position.","stapling",3,2,39,"1: male",NA,"correct","correct"
"8STYN4AJlg3t",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The fishing rod and the mouse will likely lead to nothing as the mouse is isolated on the wheel. However, the cat will eventually lean or move out of the chair, which will trigger the scissors to cut the line and the shoe to fall on top of the stapler.","stapling",3,2,27,"2: female","None","correct","correct"
"aLOD7cXeMSUN",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The bell on the mouse wheel will ring. This will startle the cat which will cut the string attached to the boot. The boot will fall and staple the papers.","stapling",3,2,48,"1: male",NA,"correct","correct"
"BUH7CSGyTh5U",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","As soon as the cat moves it will move the scissors and drop the top blade to cut the string. This will then release the string holding the boot to drop downwards onto the stapler which will punch a staple. With regards to the watering can, there is no guarantee there is any water in there. There is also nothing on the end of the string it is connected to to affect it.","stapling",3,2,39,"1: male",NA,"correct","correct"
"cpVz4tvOSrfM",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","When the cat sees the rat, it will try to catch it, which will give the scissor motion. this motion will prompt the scissor to cut the string holding the shoe up, which will lead to the shoe falling on the stapler, thus, stapling the papers","stapling",3,2,22,"2: female",NA,"correct","correct"
"EhX3TZ5B7YK1",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","First the cheese on the fishing rod will be chased by the mouse in the spinning wheel. This in turn will rotate the wheel which has pamphlets attached to the outside which begin to ring a bell. The bell will gain the cats attention and it will jump for the mouse. This will set off a simultaneous reaction in which scissors are used to cut a rope which will drop a shoe onto a stapler. At the same time the other rope attached to the cats tail will pull the snout of the water can forward henceforth watering the plant. The reason for this action of the water can happening after the stapling is that it has a longer string than the one on the scissors which will take longer to have any effect","stapling",3,2,22,"1: male",NA,"correct","correct"
"FU77hUMwESXW",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","First the mouse chases the cheese, which triggers the bell. The cat then wakes which pulls the scissors shut, cutting the rope and releasing the boot onto the stapler","stapling",3,2,24,"1: male","In the description block at the beginning, casual has been spelt incorrected as ""causal""","correct","correct"
"GF3NEUnN8GVf",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","THE RAT WILL JUMP TO CATCH THE CHEESE FROM THE FISHING ROD AND THE CAT WILL BE WAKEN UP BY THIS ACTION OF A RAT, AS THE CAT WAKES UP IT WILL MOVE ITS TAIL WHICH WILL CAUSE THE SCISSOR TO CUT THE THE SHOE STRING THEN THE SHOE WILL FALL ON A STAPLE AND THAT'S HOW THE PAPER ON THE TABLE WILL BE STAPLED.","stapling",3,2,40,"2: female","NO ERRORS","correct","correct"
"GG8OX2ziDjuT",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","the mouse will run to try to get the cheese. The cat will move its tail and pull the scissors. the scissors will cut the string. the shoe will fall on the stapler and the stapler will staple the paper.","stapling",3,2,41,"2: female",NA,"correct","correct"
"GHVQF3cZCgUY",1,"1: I confirm","1: I will take it seriously","2: The flowers on Prof. Goldberg's table will be watered.","the cats tail will wag left to right moving the watering can. it would need to go up and down to activate the scissors.","stapling",3,2,43,"1: male","N.A","correct","correct"
"ilBCno73Ecow",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","first the cheese will make the mouse turn the wheel, which will ring the bell, this will then scare the cat causing it to run. when the cat runs, the scissors will fall causing the boot to drop on the stapler and staple the papers.","stapling",3,2,36,"1: male","no","correct","correct"
"JcvqR6aL6BBF",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The mouse wants to catch the chesse and makes the wheel spin and the bell ring, the cat goes after the mouse, making the scissors close  , which causes the wire to be cut and the boot to fall down, stapping the pappers.","stapling",3,2,23,"1: male",NA,"correct","correct"
"jiUk05Av2osS",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The mouse will run on the wheel, chasing the cheese and causing the bell to ring. This will wake the cat. she will move her tale causing the scissors to cut the shoe and fall on the stapler.","stapling",3,2,60,"1: male","None","correct","correct"
"kC3QSCf2JJmC",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","the fishing rod is holding the cheese. The hamster in the wheel is running after the cheese. This causes the bell to ring, which wakes the cat. The cat jumps off the stool, the string attached to the cat's tail makes the scissors close. The scissors cut the string holding the shoe. The shoe drops on to the stapler, stapling the pages.","stapling",3,2,67,"2: female",NA,"correct","correct"
"khgzo6xOV0YM",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The fishing rod with cheese initiates the mouse to run. Then the mouse on the wheel makes panels hit a bell. Next the cat will wake up ad just off its stool causing the scissors to cut the string holding the shoe. Then the shoe will drop and hit the stapler, stapling the papers","stapling",3,2,23,"2: female",NA,"correct","correct"
"MUuZ1ZElWAJc",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","Imagine if the fishing rod that is holding the cheese is caught by the rat, the bell will ring and awaken the sleeping cat. Therefore, the tail of the cat will move and cut the string that is connected to the shoe. Finally, the shoe drops and hit the staple. The leads to the document to be stapled.","stapling",3,2,24,"1: male",NA,"correct","correct"
"NSkO4oiteF4X",1,"1: I confirm","1: I will take it seriously","1: The documents on Prof. Goldberg's table will be stapled.","The mouse is chasing the cheese which then rings the bell and gets the cats attention which then pulls the string attached to his tail which cuts the string holding the boot which the stamps on the stapler.","stapling",3,2,37,"1: male","no errors","correct","correct"
